iter	Passed	Remaining
144	7094	17319
145	7140	17264
146	7185	17206
147	7232	17152
148	7293	17133
149	7349	17100
150	7431	17127
151	7485	17087
152	7544	17062
153	7610	17050
154	7665	17012
155	7714	16962
156	7771	16928
157	7844	16929
158	7891	16875
159	7935	16813
160	7982	16757
161	8028	16701
162	8075	16645
163	8121	16588
164	8169	16537
165	8236	16523
166	8283	16468
167	8327	16407
168	8374	16353
169	8421	16298
170	8464	16235
171	8509	16178
172	8555	16120
173	8600	16064
174	8656	16026
175	8709	15984
176	8753	15924
177	8811	15891
178	8867	15852
179	8927	15821
180	8988	15792
181	9041	15748
182	9098	15711
183	9164	15688
184	9214	15639
185	9260	15583
186	9302	15520
187	9347	15463
188	9390	15402
189	9431	15338
190	9476	15280
191	9519	15221
192	9576	15183
193	9618	15121
194	9658	15057
195	9702	14998
196	9751	14948
197	9800	14898
198	9846	14844
199	9891	14787
200	9940	14738
201	10029	14746
202	10086	14706
203	10137	14660
204	10209	14642
205	10283	14626
206	10361	14615
207	10515	14711
208	10579	14680
209	10642	14645
210	10700	14606
211	10771	14582
212	10826	14536
213	10893	14507
214	10942	14454
215	10988	14396
216	11037	14343
217	11087	14292
218	11202	14323
219	11269	14291
220	11337	14261
221	11421	14251
222	11482	14211
223	11542	14170
224	11601	14128
225	11667	14093
226	11721	14045
227	11777	13998
228	11828	13946
229	11915	13936
230	11964	13880
231	12011	13824
232	12070	13779
233	12122	13728
234	12181	13684
235	12243	13644
236	12344	13647
237	12473	13678
238	12681	13795
239	12861	13879
240	12942	13855
241	13014	13821
242	13083	13783
243	13139	13732
244	13208	13693
245	13277	13655
246	13362	13633
247	13427	13589
248	13487	13541
249	13543	13489
250	13593	13431
251	13644	13373
252	13690	13311
253	13749	13262
254	13799	13203
255	13846	13143
256	13891	13081
257	13939	13020
258	13986	12960
259	14039	12905
260	14095	12853
261	14148	12798
262	14221	12761
263	14288	12718
264	14351	12672
265	14441	12649
266	14537	12632
267	14629	12609
268	14699	12568
269	14785	12540
270	14859	12502
271	14912	12445
272	14963	12387
273	15075	12379
274	15179	12364
275	15320	12378
276	15448	12381
277	15549	12361
278	15636	12329
279	15709	12287
280	15785	12246
281	15873	12214
282	15929	12158
283	15990	12105
284	16060	12059
285	16443	12246
286	16649	12298
287	16954	12421
288	17058	12395
289	17142	12354
290	17209	12301
291	17307	12269
292	17448	12267
293	17539	12230
294	17611	12178
295	17675	12122
296	17757	12077
297	17853	12041
298	17911	11981
299	17977	11925
300	18031	11861
301	18106	11811
302	18181	11761
303	18294	11735
304	18362	11679
305	18427	11622
306	18504	11573
307	18562	11511
308	18650	11468
309	18747	11429
310	18881	11413
311	18961	11364
312	19035	11311
313	19119	11264
314	19195	11212
315	19261	11154
316	19325	11095
317	19397	11040
318	19457	10979
319	19515	10916
320	19570	10852
321	19645	10798
322	19699	10734
323	19764	10675
324	19897	10652
325	19974	10600
326	20053	10547
327	20129	10494
328	20188	10431
329	20269	10380
330	20334	10321
331	20405	10264
332	20466	10202
333	20561	10157
334	20618	10093
335	20709	10046
336	20777	9987
337	20847	9930
338	20949	9887
339	21032	9835
340	21096	9774
341	21157	9712
342	21226	9654
343	21286	9591
344	21357	9533
345	21466	9492
346	21525	9429
347	21590	9368
348	21659	9309
349	21749	9258
350	21842	9209
351	21927	9157
352	21998	9098
353	22053	9033
354	22106	8967
355	22165	8903
356	22220	8838
357	22275	8773
358	22351	8716
359	22402	8649
360	22462	8586
361	22541	8530
362	22629	8478
363	22728	8429
364	22815	8376
365	22875	8312
366	22934	8248
367	22992	8184
368	23047	8119
369	23099	8053
370	23161	7990
371	23221	7927
372	23274	7862
373	23332	7798
374	23388	7733
375	23490	7684
376	23583	7631
377	23727	7595
378	23824	7543
379	23890	7481
380	23954	7419
381	24016	7355
382	24098	7298
383	24162	7236
384	24230	7174
385	24318	7119
386	24425	7068
387	24543	7021
388	24636	6966
389	24712	6906
390	24782	6845
391	24842	6780
392	24905	6717
393	24973	6655
394	25035	6591
395	25099	6528
396	25189	6471
397	25284	6416
398	25366	6357
399	25494	6309
400	25617	6260
401	25710	6203
402	25781	6141
403	25848	6078
404	25952	6023
405	26015	5959
406	26074	5894
407	26147	5831
408	26212	5768
409	26290	5706
410	26380	5648
411	26463	5588
412	26537	5525
413	26609	5463
414	26680	5400
415	26772	5341
416	26858	5281
417	26954	5223
418	27021	5159
419	27080	5093
420	27147	5029
421	27215	4965
422	27305	4905
423	27385	4844
424	27460	4781
425	27522	4716
426	27585	4651
427	27681	4591
428	27774	4531
429	27834	4466
430	27923	4405
431	27982	4339
432	28050	4275
433	28124	4212
434	28210	4150
435	28306	4090
436	28568	4053
437	28903	4025
438	29067	3972
439	29322	3931
440	29579	3890
441	29707	3831
442	29772	3763
443	29867	3699
444	29928	3631
445	30015	3566
446	30116	3503
447	30197	3437
448	30293	3373
449	30363	3306
450	30443	3240
451	30514	3172
452	30614	3108
453	30681	3041
454	30763	2974
455	30822	2906
456	30887	2838
457	30962	2771
458	31038	2704
459	31106	2637
460	31237	2574
461	31347	2510
462	31471	2446
463	31605	2384
464	31712	2318
465	31772	2249
466	31832	2181
467	31903	2113
468	31998	2046
469	32090	1980
470	32174	1912
471	32280	1846
472	32372	1779
473	32473	1712
474	32546	1644
475	32625	1576
476	32683	1507
477	32755	1439
478	32813	1370
479	32896	1302
480	32959	1233
481	33051	1165
482	33142	1097
483	33243	1030
484	33356	962
485	33439	894
486	33516	825
487	33589	757
488	33674	688
489	33788	620
490	33884	552
491	33955	483
492	34018	414
493	34084	344
494	34151	275
495	34263	207
496	34334	138
497	34423	69
498	34520	0
